existinghospitalname,existinghospitallatitude,existinghospitallongitude,existinghospitalfixedcost,existinghospitalcapacity,potentialhospitalname,potentialhospitallatitude,potentialhospitallongitude,potentialhospitalcost,potentialhospitalcapacity,crashnumber,crashdateandtime,crashlatitude,crashlongitude,demand,pricepermile
,,,,,,,,,,115,10/21/2019 9:35:00 AM,35.8039467486048,-78.7016980464642,,
,,,,,,,,,,116,10/21/2019 8:28:00 AM,35.7144141402248,-78.5836758613586,,
,,,,,,,,,,117,10/21/2019 8:15:00 AM,35.723633045564,-78.8225033183953,,
,,,,,,,,,,118,10/21/2019 7:47:00 AM,35.7485974626221,-78.7716338554769,,
,,,,,,,,,,119,10/21/2019 7:43:00 AM,35.6473411821108,-78.5651938485205,,
,,,,,,,,,,120,10/21/2019 7:19:00 AM,35.9027015676502,-78.5581512451172,,
,,,,,,,,,,121,10/21/2019 7:19:00 AM,35.7353175326413,-78.5632095336914,,
,,,,,,,,,,122,10/20/2019 1:01:00 PM,35.6681157937337,-78.5634307153184,,
,,,,,,,,,,123,10/20/2019 12:41:00 PM,35.6655689324093,-78.5635783110757,,
,,,,,,,,,,124,10/20/2019 9:58:00 AM,35.7249475251352,-78.5844774140733,,
,,,,,,,,,,125,10/20/2019 7:55:00 AM,35.7201720839748,-78.5841768321991,,
,,,,,,,,,,126,10/20/2019 7:35:00 AM,35.6947436229661,-78.5748810863495,,
,,,,,,,,,,127,10/20/2019 7:26:00 AM,35.7578095753932,-78.6131719522403,,
,,,,,,,,,,128,10/20/2019 7:06:00 AM,35.7777997894,-78.746941810876,,
,,,,,,,,,,129,10/20/2019 3:07:00 AM,35.8115807146744,-78.7294428001335,,
,,,,,,,,,,130,10/20/2019 2:33:00 AM,35.7691709996965,-78.5263183383942,,
,,,,,,,,,,131,10/19/2019 5:24:00 PM,35.7992392470703,-78.6937790905206,,
,,,,,,,,,,132,10/19/2019 1:35:00 PM,35.7937678412028,-78.5388859762784,,
,,,,,,,,,,133,10/19/2019 9:42:00 AM,35.7277700351183,-78.5855750298439,,
,,,,,,,,,,134,10/19/2019 8:26:00 AM,35.6468760517635,-78.5652815658245,,
,,,,,,,,,,135,10/19/2019 12:09:00 AM,35.7377916100192,-78.5900007604276,,
,,,,,,,,,,136,10/18/2019 5:39:00 PM,35.865095840481,-78.8204199897881,,
,,,,,,,,,,137,10/18/2019 5:14:00 PM,35.7500477359202,-78.7692907259159,,
,,,,,,,,,,138,10/18/2019 3:55:00 PM,35.8204822296024,-78.7431055724556,,
,,,,,,,,,,139,10/18/2019 3:40:00 PM,35.8205645665174,-78.7438926484441,,
,,,,,,,,,,140,10/18/2019 1:31:00 PM,35.7726018796596,-78.7190375372593,,
,,,,,,,,,,141,10/18/2019 10:59:00 AM,35.6448122537967,-78.5654230162327,,
,,,,,,,,,,142,10/18/2019 8:17:00 AM,35.8052020003299,-78.5962871106279,,
,,,,,,,,,,143,10/18/2019 8:08:00 AM,35.754012860344,-78.6360244795505,,
,,,,,,,,,,144,10/18/2019 7:18:00 AM,35.7921245432952,-78.5790853544895,,
,,,,,,,,,,145,10/18/2019 6:57:00 AM,35.7674550689372,-78.4959964796726,,
,,,,,,,,,,146,10/18/2019 6:47:00 AM,35.7917044478337,-78.7456793829624,,
,,,,,,,,,,147,10/18/2019 5:19:00 AM,35.8747648227292,-78.5773407929643,,
,,,,,,,,,,148,10/18/2019 1:38:00 AM,35.7846950016508,-78.8859867604352,,
,,,,,,,,,,149,10/17/2019 7:50:00 PM,35.8124813134802,-78.6034115418371,,
,,,,,,,,,,150,10/17/2019 5:52:00 PM,35.8343122247476,-78.8914132121526,,
,,,,,,,,,,151,10/17/2019 4:14:00 PM,35.6879413317984,-78.5710134436376,,
,,,,,,,,,,152,10/17/2019 12:03:00 PM,35.7859224269862,-78.5733498010267,,
,,,,,,,,,,153,10/17/2019 10:59:00 AM,35.7108141775197,-78.622931202418,,
,,,,,,,,,,154,10/17/2019 9:52:00 AM,35.8297625450279,-78.7597933370042,,
,,,,,,,,,,155,10/17/2019 9:41:00 AM,35.8532988730268,-78.8028282571357,,
,,,,,,,,,,156,10/17/2019 8:03:00 AM,35.89151151453,-78.5952396392822,,
,,,,,,,,,,157,10/17/2019 7:52:00 AM,35.8223348091264,-78.6145116905359,,
,,,,,,,,,,158,10/16/2019 1:50:00 PM,35.7560671972733,-78.6014640345351,,
,,,,,,,,,,159,10/16/2019 1:39:00 PM,35.645868191939,-78.565350206764,,
,,,,,,,,,,160,10/16/2019 1:06:00 PM,35.8916441349658,-78.5954260758159,,
,,,,,,,,,,161,10/16/2019 12:42:00 PM,35.7222326242419,-78.5840022607136,,
,,,,,,,,,,162,10/16/2019 12:43:00 PM,35.7959012529917,-78.7432831818548,,
,,,,,,,,,,163,10/16/2019 12:30:00 PM,35.7448661291299,-78.5928362006937,,
,,,,,,,,,,164,10/16/2019 11:22:00 AM,35.712296572703,-78.6577077938329,,
,,,,,,,,,,165,10/16/2019 10:58:00 AM,35.7222881079839,-78.5839093779079,,
,,,,,,,,,,166,10/16/2019 10:45:00 AM,35.791726816615,-78.5785775711061,,
,,,,,,,,,,167,10/16/2019 9:50:00 AM,35.7223112066672,-78.5840086371976,,
,,,,,,,,,,168,10/16/2019 9:31:00 AM,35.7864449404609,-78.6987066268921,,
,,,,,,,,,,169,10/16/2019 9:15:00 AM,35.8947327197225,-78.801288353845,,
,,,,,,,,,,170,10/16/2019 8:49:00 AM,35.8127856800526,-78.731972434644,,
,,,,,,,,,,171,10/16/2019 7:40:00 AM,35.8081336685545,-78.8147162128001,,
,,,,,,,,,,172,10/16/2019 7:37:00 AM,35.80603722821,-78.7188506126404,,
,,,,,,,,,,173,10/16/2019 7:06:00 AM,35.8192847641039,-78.7410927660099,,
,,,,,,,,,,174,10/16/2019 6:50:00 AM,35.7240943350125,-78.8210688358537,,
,,,,,,,,,,175,10/16/2019 6:34:00 AM,35.8267267916436,-78.6248402335686,,
,,,,,,,,,,176,10/15/2019 6:35:00 PM,35.7069395237365,-78.8789155289485,,
,,,,,,,,,,177,10/15/2019 6:09:00 PM,35.8073714829749,-78.7233170401293,,
,,,,,,,,,,178,10/15/2019 5:34:00 PM,35.8631142462759,-78.8176403129317,,
,,,,,,,,,,179,10/15/2019 3:48:00 PM,35.7698541223825,-78.738657951355,,
,,,,,,,,,,180,10/15/2019 8:02:00 AM,35.7667934190085,-78.7348428403409,,
,,,,,,,,,,181,10/15/2019 7:57:00 AM,35.8196132351243,-78.7425019064725,,
,,,,,,,,,,182,10/15/2019 8:00:00 AM,35.8649332893628,-78.5470912653704,,
,,,,,,,,,,183,10/15/2019 7:23:00 AM,35.7517267611054,-78.6489278731276,,
,,,,,,,,,,184,10/15/2019 7:15:00 AM,35.756112954277,-78.6579431706444,,
,,,,,,,,,,185,10/14/2019 6:57:00 PM,35.9628927113199,-78.4355859971319,,
,,,,,,,,,,186,10/14/2019 5:57:00 PM,35.6727817359048,-78.9210246180175,,
,,,,,,,,,,187,,,,,
,,,,,,,,,,188,10/14/2019 5:39:00 PM,35.8955207428052,-78.7903854846954,,
,,,,,,,,,,189,10/14/2019 5:06:00 PM,35.8228122872727,-78.38336353302,,
,,,,,,,,,,190,10/14/2019 9:16:00 AM,35.751643111212,-78.7016372725193,,
,,,,,,,,,,191,10/14/2019 8:56:00 AM,35.7517918866198,-78.702781681699,,
,,,,,,,,,,192,10/14/2019 8:09:00 AM,35.8031389483184,-78.5941516778769,,
,,,,,,,,,,193,10/14/2019 7:46:00 AM,35.8171880601969,-78.6004309698765,,
,,,,,,,,,,194,10/14/2019 6:25:00 AM,35.7654516674117,-78.7345008894626,,
,,,,,,,,,,195,10/14/2019 5:17:00 AM,35.7216157671527,-78.5839020428533,,
,,,,,,,,,,196,10/13/2019 9:44:00 PM,35.7542591557326,-78.6837480068207,,
,,,,,,,,,,197,10/13/2019 9:34:00 PM,35.7658788173912,-78.4813232421875,,
,,,,,,,,,,198,10/13/2019 9:28:00 PM,35.7235116866927,-78.5841720104218,,
,,,,,,,,,,199,10/13/2019 9:13:00 PM,35.7361056662892,-78.7948167324066,,
,,,,,,,,,,200,10/13/2019 6:18:00 PM,35.8026798196168,-78.8915421962738,,
,,,,,,,,,,201,10/13/2019 4:19:00 PM,35.7660329711307,-78.7347700595856,,
,,,,,,,,,,202,10/13/2019 3:23:00 PM,35.6289501957289,-78.5663664340973,,
,,,,,,,,,,203,10/13/2019 2:59:00 PM,35.8362348431725,-78.6669523715973,,
,,,,,,,,,,204,10/13/2019 2:52:00 PM,35.7226032159983,-78.5840163230896,,
,,,,,,,,,,205,10/13/2019 2:27:00 PM,35.8124048993244,-78.6032483577728,,
,,,,,,,,,,206,10/13/2019 2:11:00 PM,35.7562068944066,-78.6006042957306,,
,,,,,,,,,,207,10/13/2019 12:15:00 AM,35.7590061163483,-78.7305693626404,,
,,,,,,,,,,208,10/12/2019 2:50:00 PM,35.6412458849029,-78.5654853991532,,
,,,,,,,,,,209,10/12/2019 2:46:00 PM,35.8178780798561,-78.6890119622462,,
,,,,,,,,,,210,10/12/2019 2:09:00 PM,35.7712091383512,-78.5048500243968,,
,,,,,,,,,,211,10/12/2019 1:46:00 PM,35.7765457914605,-78.5085554122925,,
,,,,,,,,,,212,10/11/2019 8:52:00 PM,35.6753542154162,-78.5637642797674,,
,,,,,,,,,,213,10/11/2019 5:51:00 PM,35.64751840451,-78.5649172921549,,
,,,,,,,,,,214,10/11/2019 5:29:00 PM,35.8058179785347,-78.4246275527403,,
,,,,,,,,,,215,10/11/2019 4:46:00 PM,35.8432357806865,-78.7872989280149,,
,,,,,,,,,,216,10/11/2019 4:41:00 PM,35.8441624351295,-78.7890213656937,,
,,,,,,,,,,217,10/11/2019 3:26:00 PM,35.8380453905952,-78.7772800565986,,
,,,,,,,,,,218,10/11/2019 2:09:00 PM,35.8705052261037,-78.5805811984465,,
,,,,,,,,,,219,10/11/2019 8:38:00 AM,35.9848934229533,-78.6566080932617,,
,,,,,,,,,,220,10/11/2019 6:46:00 AM,35.7309136161916,-78.6509326343536,,
,,,,,,,,,,221,10/11/2019 2:43:00 AM,35.8412130091383,-78.783199421595,,
,,,,,,,,,,222,10/10/2019 7:53:00 PM,35.7567241806289,-78.6148491726513,,
,,,,,,,,,,223,10/10/2019 5:54:00 PM,35.8067546547942,-78.6936459553746,,
,,,,,,,,,,224,10/10/2019 5:37:00 PM,35.829565764705,-78.7591794013977,,
,,,,,,,,,,225,10/10/2019 5:27:00 PM,35.8657825204803,-78.8213278694153,,
,,,,,,,,,,226,10/10/2019 5:22:00 PM,35.7652737938712,-78.7380506832557,,
,,,,,,,,,,227,10/10/2019 4:18:00 PM,35.9151487159707,-78.6862084988007,,
,,,,,,,,,,228,10/10/2019 12:34:00 PM,35.8341534398619,-78.768615584946,,
,,,,,,,,,,229,10/10/2019 12:30:00 PM,35.8273440619765,-78.362630072601,,
,,,,,,,,,,230,10/10/2019 9:05:00 AM,35.676103187663,-78.5637187204665,,
,,,,,,,,,,231,10/10/2019 7:33:00 AM,35.8254951705055,-78.6213556823731,,
,,,,,,,,,,232,10/10/2019 6:54:00 AM,35.7789300908679,-78.5639413890839,,
,,,,,,,,,,233,10/10/2019 6:50:00 AM,35.8644768390769,-78.5472923582863,,
